word;etymology;related
çağır|mak;orig	Eski Türkçe ve Türkiye Türkçesi,çağ 	;
in;orig	Eski Türkçe,in 	;
fena;orig	Arapça,fny	Aramice/Süryanice,pny	Aramice/Süryanice,pənā	;
konsinye;orig	Fransızca ,consigné	Fransızca ,consigner	Latince,consignare	Latince,signum	;
bimar;orig	Farsça,bīmār	;
dun;orig	Arapça,dnw	;
bez;orig	Arapça,bzz	Arapça,bizza(t)	Eski Yunanca,býssos	İbranice ve Aramice/Süryanice,būṣ	Akatça,būṣu	;
totişko;orig	Türkiye Türkçesi,tontişko	Türkiye Türkçesi,tonton	;
kalıt;orig	Türkiye Türkçesi,kal-	;
şiş;orig	Eski Türkçe,sış	Eski Türkçe,sı-	;
vibrato;orig	İtalyanca,vibrato	Latince,vibratus	Latince,vibrare	;
zait;orig	Arapça,zyd	Arapça,zāda	;
gabari;orig	Fransızca ,gabarit	Germence,*garwian	;
illiyet;orig	Arapça,ˁll	;
beriberi;orig	Fransızca ,béribéri	İngilizce ,beriberi	Sinhali (Sri Lanka) dilinde,beri	;
update;orig	İngilizce ,update	İngilizce ,up to date	İngilizce ,up	İngilizce ,date	Latince,datum	;
derbent;orig	Farsça ve Orta Farsça,darband	Farsça ve Orta Farsça,dar	Farsça ve Orta Farsça,band	;
krampon;orig	Fransızca ,crampon	Germence,*krampo	;
fondöten;orig	Fransızca ,fond de teint	;
katamaran;orig	İngilizce ,catamaran	Tamilce,kattumaram	Tamilce,kattu	Tamilce,maram	;
dil;orig	Eski Türkçe,tıl 	;
ürk|mek;orig	Eski Türkçe,ürk-	Eski Türkçe,irk-	;
katalepsi;orig	Fransızca ,catalepsie	Eski Yunanca,katálēpsis	;
emzir|mek;orig	Eski Türkçe,emüz-	Eski Türkçe,em-	;
zücaciye;orig	Arapça,zcc	Aramice/Süryanice,zgg	Aramice/Süryanice,zgūgīthā	;
darbe;orig	Arapça,ḍrb	Arapça,ḍaraba	;
izlek;orig	Türkiye Türkçesi,izle-	;
kürdan;orig	Fransızca ,cure-dent	Fransızca ,curer	Latince,curare	Fransızca ,dent	Latince,dens, dent-	;
fantazma;orig	Fransızca ,fantasme	Eski Yunanca,phántasma	Eski Yunanca,phantázomai	;
kovuk;orig	Eski Türkçe,koġuk 	Eski Türkçe,*koġ-	;
kıstas;orig	Arapça,ḳsṭs	Aramice/Süryanice,ḳisṭā 	Eski Yunanca,ksestḗs	Latince,sextarius	Latince,sex	;
filiz;orig	Yeni Yunanca,phylís	Eski Yunanca ve Yeni Yunanca,phýllon	Eski Yunanca,phléō	Hintavrupa Anadilinde,*bhl-e-	Hintavrupa Anadilinde,*bhel-<sup>2</sup>	;
şems;orig	Arapça,şms	Aramice/Süryanice,şimşā	Akatça,şamşu, şamaş	;
üzere;orig	Orta Türkçe,üzre	Eski Türkçe,üze	Eski Türkçe,üz- 	;
calculus;orig	İngilizce ,calculus	Latince,calculus	Latince,calx	;
gömü;orig	Türkiye Türkçesi,göm-	;
hin;orig	Arapça,ḥyn	;
ksilofon;orig	Fransızca ve İngilizce ,xylophone	Eski Yunanca,ksýlon	Eski Yunanca,phonḗ	;
ahu;orig	Farsça,āhū	Orta Farsça,āhūk	Soğdca,āsūk	Avesta (Zend) dilinde,āsu	;
veri;orig	Türkiye Türkçesi,ver-	;
bılkım;orig	Türkiye Türkçesi,bılkı-	;
kostüm;orig	Fransızca ,costume	İtalyanca,costume	Latince,consuetudo	Latince,consuescere	Latince,suescere, suet-	Latince,se 	Hintavrupa Anadilinde,*s(w)e-	;
zılgıt;orig	Arapça,ẓalġūt	;
konser;orig	Fransızca ,concert	İtalyanca,concerto	;
kazasker;orig	Arapça,ḳāḍi'l-ˁaskar	;
feedback;"orig	İngilizce ,feedback	İngilizce ,feed&lt;/i&gt; ""beslemek"" ve <b>İngilizce </b> <i>back	";
harpuşta;orig	Farsça,χarpuşta	Farsça,χar	Farsça,puşta	;
folk;orig	İngilizce ,folk	Germence,*folkam	Hintavrupa Anadilinde,*pelə-<sup>1</sup>	;
tarzanca;"none	<p> <i>Tarzan</i> ""Edgar Rice Burroughs'ın 1912'den itibaren çok sayıda romanına konu olan hayali orman adamı"" <b>özel adından</b> türetilmiştir. </p>";
avan;orig	Fransızca ,avant	Latince,ab ante	Latince,ante	Hintavrupa Anadilinde,*ant-	;
fokstrot;orig	İngilizce ,foxtrot	İngilizce ,fox	İngilizce ,trot	İngilizce ,tread	Germence,*tredan	;
feçes;orig	İngilizce ,faeces	Latince,faeces	Latince,faex	;
spektrum;orig	Latince,spectrum	;
esirge|mek;orig	Eski Türkçe,ésirke-	Eski Türkçe,ésiz	;
home;orig	İngilizce ,home	Eski İngilizce ,hām	Germence,*haim-az	Hintavrupa Anadilinde,*koi-mo-	;
brakisefal;orig	Fransızca ,brachycéphale	Eski Yunanca,braχýs	Hintavrupa Anadilinde,*mregh-u-	Eski Yunanca,képhalos	;
katakomb;orig	Fransızca ,catacombes	Geç Latince,catacumba	Latince,tumba	;
adale;orig	Arapça,ˁḍl	Arapça,ˁaḍal	;
arz;orig	Arapça,Arḍ	;
dandini;none	<p> <i>dan-din</i> çocuk sözünden türetilmiştir. </p>;
hoşaf;orig	Farsça,χʷoşāb	;
ziynet;orig	Arapça,zyn	Arapça,zāna	;
tornado;orig	İspanyolca ,tornado	Latince,tornatus	Latince,tornare	;
asır;orig	Arapça,ˁṣr	Aramice/Süryanice,ˁaṣarthā	İbranice ,ˁasereth	İbranice ,ˁāṣar	;
yarar;orig	Türkiye Türkçesi,yara-	;
çoğal|mak;orig	Türkiye Türkçesi,çōk	;
transmitter;orig	İngilizce ,transmitter	İngilizce ,transmit	;
hafakan;orig	Arapça,χfḳ	Arapça,χafaḳa	;
iltihap;orig	Arapça,lhb	Arapça,lahab	;
cunta;orig	İngilizce ,junta	İspanyolca ,junta	Latince,iuncta	;
bambu;orig	Fransızca ,bambou	İngilizce ,bamboo	Portekizce ,bambus	;
cavlak;orig	Türkiye Türkçesi,cıblak 	;
swinger;orig	İngilizce ,swinger	İngilizce ,swing	;
cünüp;orig	Arapça,cnb	Arapça,canaba	;
kına;orig	Arapça,ḥnw	Aramice/Süryanice,ḥnn	;
enfarktüs;orig	Yeni Latince,infarctus	Latince,farcire	;
çök|mek;orig	Eski Türkçe,çök-	;
+gû;orig	Farsça,gû	Farsça,guftan, gû	;
sos;orig	Fransızca ,sauce	Eski Fransızca,salse	Latince,salsus	Latince,sal	;
epizot;orig	Fransızca ,épisode	Eski Yunanca,epeisódion	Eski Yunanca,eísodos	Eski Yunanca,ʰodós	;
hedef;orig	Arapça,hdf	Arapça,hadafa	;
ırmak;orig	Orta Türkçe,ırmak	Eski Türkçe,ır- 	;
internet;orig	İngilizce ,internet	İngilizce ,intercomputer network	;
yazı;orig	Orta Türkçe,yazığ	Oğuzca,yaz-	;
idefiks;orig	Fransızca ,idée fixe	;
tavla|mak;orig	Türkiye Türkçesi,tāb ver-	Farsça,tāb 	;
alçı;orig	Orta Türkçe,alçu	Eski Türkçe,aşu	;
af;orig	Arapça,ˁfw	Arapça,ˁafā	;
incentive;orig	İngilizce ,incentive	Latince,incentivus	Latince,incinere	Latince,canere, cant-	;
vali;orig	Arapça,wly	Arapça,walā	;
evcimen;orig	Türkiye Türkçesi,evcümen	Türkiye Türkçesi,ev	;
düstur;orig	Arapça,dstr	Farsça,dastūr	;
zahter;orig	Arapça,sˁtr	Aramice/Süryanice,zawtr	Latince,satureia	;
adamcıl;orig	Türkiye Türkçesi,ādam	;
düşeş;orig	Farsça,du şaş	;
güdük;orig	Türkiye Türkçesi,küçük 	Farsça,kūdak 	;
ültrason;orig	Fransızca ,ultrason	Fransızca ,son	Latince,sonus	;
fistül;orig	Fransızca ,fistule	Latince,fistula	;
gurbet;orig	Arapça,ġrb	Arapça,ġaraba	;
casual;orig	İngilizce ,casual	Latince,casualis	Latince,casus	Latince,cadere	;
intörn;orig	İngilizce ,intern	Latince,internus	;
filozof;orig	Arapça,flsf	Eski Yunanca,philósophos	Eski Yunanca,phílos	Eski Yunanca,sophós	;
diyafon;orig	ticari markasından,diyalog telefonu	;
tur;orig	Arapça,ṭwr	Aramice/Süryanice,ṭwr	;
gizem;orig	Yeni Türkçe,giz	;
âlemîn;orig	Arapça,ˁālamīn	;
iskarpin;orig	Fransızca ,scarpin	İtalyanca,scarpino	İtalyanca,scarpa	;
ispat;"orig	Arapça,s̠bt	Arapça,aṯbata	Arapça,ṯabata&lt;/i&gt; ثَبَتَ <span style=""visibility:hidden;font-size:0px"">z</span> ""kaldı, sabitlendi"" fiilinin (IV) fiilidir. 	";
zeamet;orig	Arapça,zˁm	Arapça,zaˁama	;
deyyus;orig	Arapça,dys̠	;
kablo;orig	Fransızca ,câble 	Geç Latince,capulum	Aramice/Süryanice,ḥebel	;
kaşe;orig	Fransızca ,cachet	Fransızca ,cacher	Latince,coactare	Latince,agere, act-	;
sürklase;orig	Fransızca ,surclasser	Fransızca ,classe	;
katarakt;orig	Fransızca ,cataracte	Eski Yunanca,katarráktēs	Eski Yunanca,arássō, arag-	;
işret;orig	Arapça,ˁşr	Arapça,ˁaşara	;
hafif;orig	Arapça,χff	Arapça,χaffa	;
enikonu;orig	Türkiye Türkçesi,enüp konup	;
abaküs;orig	Latince,abacus	Eski Yunanca,ábaks, abak-	;
şakak;orig	Arapça,şḳḳ	Arapça,şıḳḳ 	Arapça,şaḳḳa	;
zon;orig	Fransızca ,zone	Latince,zona	Eski Yunanca,zōnē	Hintavrupa Anadilinde,*yōs-nā-	Hintavrupa Anadilinde,*yōs-	;
katil;orig	Arapça,ḳtl	Arapça,ḳatala	;
abide;orig	Arapça,Abd	Arapça,abada	;
şebek;orig	Arapça,şbk	Arapça,şabaka(t)	;
hematoloji;orig	Fransızca ,hématologie	;
dildar;orig	Farsça,dil-dār	;
tevzi;orig	Arapça,wzˁ	Arapça,wazaˁa	;
çöven;orig	Orta Türkçe,çoġan	;
balta;orig	Eski Türkçe,baltu	Eski Türkçe,*bal-	;
kıranta;orig	Türkiye Türkçesi,kır	;
firak;orig	Arapça,frḳ	Arapça,faraḳa	;
kostik;orig	Fransızca ,soude caustique	Fransızca ,caustique	Eski Yunanca,kaustikós	Eski Yunanca,kaíō	;
buyur|mak;orig	Oğuzca,buyur-	;
şiir;orig	Arapça,şˁr	Arapça,şaˁara	İbranice ,şrr	;
veya;orig	Arapça ve Farsça,wa	Arapça ve Farsça,yā	;
teali;orig	Arapça,ˁlw	Arapça,ˁalā	;
iblağ;orig	Arapça,blġ	Arapça,balaġa	;
efektif;orig	Fransızca ,effectif	Latince,effectivus	Latince,efficere	;
FM;orig	İngilizce ,FM	İngilizce ,frequency modulated	;
hafriyat;orig	Arapça,ḥfr	Arapça,ḥafara	;
gıdım gıdım;orig	Türkiye Türkçesi,kıt kıt	;
gıdak;"none	<p> <i>gıdak</i> ""tavuk sesi"" anlamında <b>ses yansımalı sözcüktür.</b> </p>";
bangır;"none	<p> ""şiddetli bağırma sesi"" <b>Ses yansımalı sözcüktür.</b> </p>";
final;orig	Fransızca ,final	Geç Latince,finalis	Latince,finis	;
jurnal;orig	Fransızca ,journal	Latince,diurnalis	Latince,dies, gen. diu	Hintavrupa Anadilinde,*dyū-	;
koni;orig	Fransızca ,cône	Latince,conus	Eski Yunanca,kōnos	;
ispençiyar;orig	İtalyanca,speziale	İtalyanca,spezie	Latince,species	;
teskin;orig	Arapça,skn	Arapça,sakana	;
tilki;orig	Eski Türkçe,tilkü	;
baca;orig	Farsça,bāca	Farsça,bādcāh	Farsça,bād	Farsça,cāh	;
anlat|mak;orig	Eski Türkçe,aŋla-	;
tekerlek;orig	Eski Türkçe,tegrek	Eski Türkçe,*tegir-	;
taziye;orig	Arapça,ˁzy	Arapça,ˁazā	;
üşür|mek;orig	Eski Türkçe,üşgür-	Eski Türkçe,üş-	;
istical;orig	Arapça,ˁcl	Arapça,ˁacala	;
kusmuk;orig	Eski Türkçe,kus-	;
kerim;orig	Arapça,krm	Arapça,karuma	;
hile;orig	Arapça,ḥwl	Arapça,ḥāla	;
badik;orig	Türkiye Türkçesi,pati 	;
kamera;orig	İngilizce ,camera	Latince,camera obscura	Latince,camera	Eski Yunanca,kámara	;
babagannuş;orig	Arapça,baba ġannūş	Arapça,ḥannūş	özel adından,ḥannā	;
haset;orig	Arapça,ḥsd	Arapça,ḥasada	;
kolla|mak;orig	Türkiye Türkçesi,kol	;
krüdite;orig	Fransızca ,crudité	Latince,cruditas	Latince,crudus	Hintavrupa Anadilinde,*kreuə-	;
konuk;orig	Eski Türkçe,konuk	Eski Türkçe,kon-	;
flört;orig	İngilizce ,flirt	Fransızca ,fleurette	Fransızca ,fleur	Latince,flōs, flōr-	;
elhamdülillah;orig	Arapça,al-ḥamdu li'llāh	;
dilhun;orig	Farsça,dil χūn	Farsça,dil	Farsça,χūn	;
bas;"none	<p> ""bağırma sesi"" <b>Ses yansımalı sözcüktür.</b> </p>";
şilep;orig	Almanca ,Schleppe	Almanca ,schleppen	Orta Aşağı Almanca,slēpen	;
kıssa;orig	Arapça,ḳṣṣ	Arapça,ḳaṣṣa	;
ültraviyole;orig	Fransızca ,ultraviolet	Fransızca ,violet	Latince,viola	;
yadsı|mak;orig	Türkiye Türkçesi,yad	;
cız;"none	<p> ""ateşte kızarma sesi"" <b>Ses yansımalı sözcüktür.</b> </p>";
haminne;orig	Türkiye Türkçesi,hanım nine	;
fent;orig	Farsça,fand	Arapça,fann	;
türkü;orig	Türkiye Türkçesi,türkī	;
tutya;orig	Arapça,tūtiyāˀ	;
bedbaht;orig	Farsça,badbāχt	;
zayi;orig	Arapça,ḍyˁ	Arapça,ḍāˁa	;
immün;orig	Fransızca ,immune	Latince,immūnis	Latince,mūnus	;
tabiat;orig	Arapça,ṭbˁ	Arapça,ṭabaˁa	;
sota;orig	İtalyanca,sotto	Latince,subtus	Latince,sub	Hintavrupa Anadilinde,*(s)upo	;
dezenformasyon;orig	Fransızca ,désinformation	Fransızca ,information	;
tuşe;orig	Fransızca ,toucher	;
kontrast;orig	Fransızca ,contraste	İtalyanca,contrasto	Geç Latince,contra-stāre	Latince,stāre, stat-	;
ve;orig	Arapça,wa	Farsça ve Orta Farsça,ū	;
kibar;orig	Arapça,kbr	Arapça,kabīr	;
ideoloji;orig	Fransızca ,idéologie	;
istibdat;orig	Arapça,bdd	Arapça,badda	;
ihtiyaç;orig	Arapça,ḥwc	Arapça,ḥāca	;
ulan;orig	Türkiye Türkçesi,oğlan	;
koç;orig	Oğuzca,koç	Eski Türkçe,koçġar 	;
zonk;"none	<p> ""baş ağrısı sesi"" <b>Bir sözcüktür.</b> </p>";
korpus;orig	İngilizce ,corpus	Latince,corpus, corpor-	Hintavrupa Anadilinde,*kʷrep-	;
banka;orig	Fransızca ,banque	İtalyanca,banco	Germence,*bank-	;
istimbot;orig	İngilizce ,steamboat	;
aldır|mak;orig	Orta Türkçe,aldur-	Eski Türkçe,altız-	Eski Türkçe,al-	;
alim;orig	Arapça,ˁlm	Arapça,ˁalama	;
yeksan;orig	Farsça,yaksān	Farsça,yak	Farsça,sān	;
homur;"none	<p> ""öfkeli söylenme sesi"" <b>Ses yansımalı sözcüktür.</b> </p>";
aparat;orig	Almanca ,Apparat	Latince,apparatum	Latince,apparare	Latince,parare	Hintavrupa Anadilinde,*perə-<sup>1</sup>	;
tabloit;orig	İngilizce ,tabloid	Fransızca ,tablette	;
çile;orig	Farsça,çilla	Farsça,çil 	;
eskalasyon;orig	İngilizce ,escalation	İngilizce ,escalade	İtalyanca,scalata	İtalyanca,scala	;
spinal;orig	Fransızca ,spinal	Latince,spina	Hintavrupa Anadilinde,*spei-nā	Hintavrupa Anadilinde,*spei-	;
kefaret;orig	Arapça,kfr	Arapça,kafara	Aramice/Süryanice,kpr	Akatça,kapāru	;
bornoz;orig	Arapça,burnūs 	Geç Latince,birrus	;
deyim;orig	Türkiye Türkçesi,de-	;
kil(o)+;none	<p>kilobayt, kilogram, kilohertz, kilojul, kilokalori, kilosikl, kiloton, kilovat</p>;
zayıf;orig	Arapça,ḍˁf	Arapça,ḍaˁafa	;
kruvasan;orig	Fransızca ,croissant	Fransızca ,croître	Latince,crescere, cret-	Hintavrupa Anadilinde,*krē-sko-	Hintavrupa Anadilinde,*ker-<sup>3</sup>	;
kariyer;orig	İngilizce ,personnel carrier	İngilizce ,carry	Fransızca ,charrier	Geç Latince,carricare	;
eşraf;orig	Arapça,şrf	Arapça,şarīf	;
üremi;orig	Fransızca ,urémie	;
takvim;orig	Arapça,ḳwm	;
bezirgân;orig	Farsça,bāzārgān	Orta Farsça,vāçāragān	;
totaliter;orig	Fransızca ,totalitaire	İtalyanca,(lo stato) totalitario	İtalyanca,totalità	;
kom;orig	Ermenice,kom	Hintavrupa Anadilinde,*ghomo-	;
ariza;orig	Arapça,ˁrḍ	Arapça,ˁaraḍa	;
değirmi;orig	Eski Türkçe,tegirmi 	Eski Türkçe,*tegir-	;
düver;orig	Yeni Yunanca,dokárion	Yeni Yunanca,dokós	Eski Yunanca,dokós 	Eski Yunanca,dékomai	Hintavrupa Anadilinde,*dek-	;
bekle|mek;orig	Eski Türkçe,bekle-	Eski Türkçe,bek	;
frankofon;orig	Fransızca ,francophone	Fransızca ,franc	;
hack;orig	İngilizce ,hack	Eski İngilizce ,haccian	Germence,*hakkôn	;
uranyum;"orig	Yeni Latince,uranium	özel adından <a class=""presufgram"" href=""?s=structures&amp;ttype=for&amp;ww=%2Bium"">+ium</a> ekiyle türetilmiştir. Bu sözcük <b>Eski Yunanca,ouranós	";
künde;orig	Farsça,kunda	Orta Farsça,kundak	Orta Farsça,kund 	;
kimyon;orig	Arapça,kammūn 	Eski Yunanca,kýminon	Aramice/Süryanice,kamūn	Akatça,kamūnu	Sumerce,gamun	;
dığa;orig	Ermenice,dıġa(y)	Süryanice,ṭalyā, ṭlē	;
turnike;orig	Fransızca ,tourniquet	Fransızca ,tourner	;
iyi;orig	Eski Türkçe,edgü	Eski Türkçe,ét-	;
çapari;orig	Venedikçe,*ciaparìn	Venedikçe,ciapàr	;
yasa;orig	Moğolca ,yasaġ	Moğolca ,yasa-	;
vasat;orig	Arapça,wsṭ	;
hamd;orig	Arapça,ḥmd	Arapça,ḥamada	;
incil;orig	Arapça,incīl	Süryanice,ewangiliyon	Eski Yunanca,euangḗlion	Eski Yunanca,eû	Eski Yunanca,ángēlos	Eski Yunanca,ángaros 	Akatça,aggaru	;
enterkonekte;orig	İngilizce ,interconnected	İngilizce ,connect	;
çuvaldız;orig	Farsça,cuwāl dūz	Farsça,cuwāl	Farsça,dūz	Farsça,dūχtan, dūz-	;
gümüş;orig	Eski Türkçe,kümiş	Eski Türkçe,künük	;
yok;orig	Eski Türkçe,yōk	Eski Türkçe,yod-	;
danişment;orig	Farsça,dānişmand	Farsça,dāniş	Orta Farsça,dānişn	Orta Farsça,dān-	;
devir|mek;orig	Eski Türkçe,tevür-	Eski Türkçe,*tegir-	;
belli;orig	Eski Türkçe,belgülig	Eski Türkçe,belgü	;
çırmık;orig	Türkiye Türkçesi,tırŋak 	;
eşofman;orig	Fransızca ,échauffement	Fransızca ,échauffer	Fransızca ,chauffer	;
Alevi;orig	Arapça,ˁalawī	;
başka;orig	Orta Türkçe,başka 	Eski Türkçe,baş	;
toplu;orig	Türkiye Türkçesi,top	;
güverte;orig	Venedikçe,covèrta	Geç Latince ve İtalyanca,coperta	Latince,cooperire	Latince,operire	;
küçümen;orig	Türkiye Türkçesi,küçük	;
becayiş;orig	Farsça,ba cāyiş	Farsça,cāy	;
kayıp;orig	Arapça,ġyb	Arapça,ġāba	;
hükümran;orig	Arapça,ḥukm	Farsça,rān	Farsça,rāndan, rān-	Farsça,raftan, rav-	;
ürper|mek;orig	Eski Türkçe,ürper-	Eski Türkçe,ürüp	Eski Türkçe,ür-	;
uçkur;orig	Türkiye Türkçesi,iç kur	Eski Türkçe,kur	;
tünik;orig	Fransızca ,tunique	Latince,tunica	Arkaik Latince,*chtonica	Fenike dilinde,ktwn	Aramice/Süryanice,ktūnā	;
travesti;orig	Fransızca ,travesti	İtalyanca,travestito	Latince,*transvestire	Latince,vestire	;
füru;orig	Arapça,frˁ	Arapça,farˁ	Arapça,faraˁa	;
somon;orig	Fransızca ,saumon	Latince,salmo	;
domates;orig	Yeni Yunanca,tomátes	Fransızca ,tomate	İspanyolca ,tomata	Nahuatl (Aztek) dilinde,tomatl	Nahuatl (Aztek) dilinde,tomana	;
götür|mek;orig	Eski Türkçe,kötür-	Eski Türkçe,köt-	;
usan|mak;orig	Eski Türkçe,osan-	;
istatistik;orig	Fransızca ,statistique	Almanca ,Statistik	İtalyanca,stato	;
vesaire;orig	Arapça,wa sāˀira(t)	;
ez|mek;orig	Eski Türkçe,éz-	;
toplum;orig	Türkiye Türkçesi,toplu	;
azil;orig	Arapça,ˁzl	Arapça,ˁazala	;
barut;orig	Arapça ve Farsça,bārūt 	Orta Yunanca,pýrōton	Eski Yunanca,pyrítēs líthos	Eski Yunanca,pyr	;
konfeksiyon;orig	Fransızca ,confection	Latince,confectio	Latince,conficere	Latince,facere, fact-	;
tahammül;orig	Arapça,ḥml	Arapça,ḥamala	;
cesur;orig	Arapça,csr	Arapça,casara	;
bin|mek;orig	Eski Türkçe,bin- 	;
cücük;orig	Farsça,cūcak	;
teşevvüş;orig	Arapça,şwş	Arapça,şawwaşa	;
cebel;orig	Arapça,cbl	;
teavün;orig	Arapça,ˁwn	Arapça,ˁāna	;
çul;orig	Farsça,cul 	Arapça,cull	;
kösemen;orig	Türkiye Türkçesi,kösen 	;
iris;orig	Fransızca ,iris	Eski Yunanca,íris, irid-	Hintavrupa Anadilinde,*wī-ri-	Hintavrupa Anadilinde,*wei-<sup>1</sup>	;
aksır|mak;orig	Eski Türkçe,*asġır-	;
komünist;orig	Fransızca ,communiste	Fransızca ,commune	;
anzarot;orig	Arapça,ˁanzarūt	Farsça,anzarūt	;
eş;orig	Eski Türkçe,éş	;
underground;orig	İngilizce ,underground	İngilizce ,under	Hintavrupa Anadilinde,*ndher-	İngilizce ,ground	Germence,*grundu-z	;
zat;orig	Arapça,ḏw	Arapça,ḏū	;
bedii;orig	Arapça,bdˁ	Arapça,badaˁa	;
değin|mek;orig	Türkiye Türkçesi,değ-	;
kayınço;orig	Türkiye Türkçesi,kayın eçü	Türkiye Türkçesi,kayın	Türkiye Türkçesi,eçü	;
zeyil;orig	Arapça,ḏyl	Arapça,ḏāla	;
talih;orig	Arapça,ṭlˁ	Arapça,ṭalaˁa	;
yarbay;orig	Türkiye Türkçesi,yardımcı albay	;
aganigi;orig	Türkiye Türkçesi,ana	;
kuşak;orig	Eski Türkçe,kurşak	Eski Türkçe,kurşa-	;
vazıh;orig	Arapça,wḍḥ	;
fanfinfon;"none	<p> ""Fransızca konuşma sesi"" <b>Ses yansımalı sözcüktür.</b> </p>";
kur|mak;orig	Eski Türkçe,kur-	;
berrak;orig	Arapça,brḳ	Arapça,baraḳa	;
koful;orig	Türkiye Türkçesi,kof	;
kural;orig	Türkiye Türkçesi,kur-	;
korporasyon;orig	Fransızca ,corporation	Latince,corporatio	Latince,corporare	Latince,corpus, corpor-	;
kov|mak;orig	Eski Türkçe,kov-	;
tart|mak;orig	Eski Türkçe,tart-	Eski Türkçe,tar-	;
aksesuar;orig	Fransızca ,accessoire	Geç Latince,accessorium	Latince,accedere	Latince,cedere, cess-	Hintavrupa Anadilinde,*ked-	;
fiks;orig	Fransızca ,fixe	Latince,fixus	Latince,figere, fix-	Hintavrupa Anadilinde,*dhīgʷ-	;
haraşo;orig	Rusça ,χoroşii	;
aydinger;"none	<p> <i>Eidinger</i> <b>ticari markasından</b> alıntı olabilir; ancak bu kesin değildir. </p>";
deklase;orig	Fransızca ,déclassé	Fransızca ,déclasser	Fransızca ,classe	;
zuhur;orig	Arapça,ẓhr	Arapça,ẓahara	;
güreş;orig	Türkiye Türkçesi,gürenç 	Orta Türkçe,küren- 	Eski Türkçe,kür	;
bulaş|mak;orig	Eski Türkçe,bulġa-	;
utku;orig	Eski Türkçe ve Türkiye Türkçesi,ut-	;
delege;orig	Fransızca ,délegué	Latince,delegatus	Latince,delegare	Latince,lēgare	Latince,lex, leg-	;
jogging;orig	İngilizce ,jogging	İngilizce ,to jog	;
kürk;orig	Eski Türkçe,kürk	;
bermutat;orig	Farsça,bar muˁtād	Arapça,muˁtād	;
bankiz;orig	Fransızca ,banquise	Norveççe,pakkis	Norveççe,pakke	Norveççe,is	;
dana;orig	Orta Türkçe,tana	Proto-İranca (Ana-İranca),*daēnu	;
ihtilaç;orig	Arapça,χlc	Arapça,χalaca	;
timsal;orig	Arapça,ms̠l	Arapça,maṯala	;
tefessüh;orig	Arapça,fsχ	Arapça,fasaχa	;
temin;orig	Arapça,Amn	Arapça,amana 	;
temaşa;orig	Arapça,mşy	Arapça,maşā	;
gonore;orig	Fransızca ,gonorrhée	Eski Yunanca,gonorrhoía	Eski Yunanca,gónos	Eski Yunanca,rhéō	;
gezi;orig	Eski Türkçe,kezig	Eski Türkçe,kez-	;
çimen;orig	Eski Türkçe,çimgen	Eski Türkçe,çim	;
taba;orig	Fransızca ,tabac	İspanyolca ,tabaco	O. Amerika dillerinden Karib dilinde,tabako	;
hovercraft;orig	İngilizce ,hovercraft	İngilizce ,hover	İngilizce ,craft	;
konsept;orig	Fransızca ,concept	Latince,conceptus	Latince,concipere	Latince,capere, capt-	;
bone;orig	Fransızca ,bonnet	Eski Fransızca,bonet 	Geç Latince,bonetum	;
diyoksit;orig	Fransızca ,dioxyde	;
çoğulcu;orig	Yeni Türkçe,çoğul	;
kısır;none	<p> <b>Arapça</b> bir sözcükten türetilmiştir. </p>;
dalyan;orig	Yeni Yunanca,alieía	Yeni Yunanca ve Eski Yunanca,alieúō	;
aer(o)+;none	<p>aerobiyoloji, aerofaji, aerofil, aerofobi, aerografi, aerogram, aerometre, aerostatik, aeroteknik</p>;
frapan;orig	Fransızca ,frappant	Fransızca ,frapper	;
fevk;orig	Arapça,fwḳ	Arapça,fāḳa	;
kırat;orig	Arapça,ḳirāt	Eski Yunanca,kerátion	Eski Yunanca,kéras	;
iş;orig	Eski Türkçe,īş	;
alaz;orig	Türkiye Türkçesi,yalabız 	;
balyemez;orig	Venedikçe,balla ramada	Venedikçe,balla	;
vat;orig	Fransızca ve İngilizce ,watt	;
hücum;orig	Arapça,hcm	Arapça,hacama	;
göyün|mek;orig	Eski Türkçe,köy-	Eski Türkçe,köñ-	;
komütatör;orig	Fransızca ,commutateur	Latince,commutator	Latince,commutare	Latince,mutare	;
iftira;orig	Arapça,fry	Arapça,farā	;
iflas;orig	Arapça,fls	Arapça,fuls	Latince,follis	Hintavrupa Anadilinde,*bhel-<sup>2</sup>	;
havra;orig	İbranice ,χebrah	İbranice ,#χbr	;
yakış|mak;orig	Eski Türkçe,yakış- 	Eski Türkçe,yak-	;
hare;orig	Farsça,χārā	;
üstesinden gel|mek;orig	Türkiye Türkçesi,uhdesinden gel-	Arapça,ˁuhda(t)	;
bak|mak;orig	Eski Türkçe,bak-	;
fibula;orig	Latince,fibula	Latince,figere, fix-	;
çitlembik;orig	Orta Türkçe,çıtlamuk 	Orta Türkçe,çatla- 	;
tiramola;orig	İtalyanca,tiramolla	İtalyanca,tira	İtalyanca,tirare	İtalyanca,molla	;
garanti;orig	Fransızca ,garantie	Fransızca ,garantir	Fransızca ,garant	Fransızca ,garer 	;
göç;orig	Eski Türkçe,kȫç	Eski Türkçe,*kö-	;
güllaç;orig	Farsça,gulanc	Farsça,gul	;
hacip;orig	Arapça,ḥcb	Arapça,ḥacaba	;
kökez;none	<p> Bu sözcüğün kökeni belirsizdir. </p>;
