word;etymology;related
atom;orig	Fransızca ,atome	İngilizce ,atom	Eski Yunanca,átomon	Eski Yunanca,témnō, tom-	;
guatr;orig	Fransızca ,goitre	Latince,guttur	;
veteriner;orig	Fransızca ,vétérinaire	Latince,veterinarius	Latince,veterinus	Latince,vetus, veter-	;
tiz;orig	Farsça ve Orta Farsça,tīz 	Avesta (Zend) dilinde,taeça- 	Sanskritçe,tic-, tigma	Hintavrupa Anadilinde,*(s)teig-	;
süfla;"none	<p><i>Süflî</i> ve <i>esfel</i> sıfatının dişi halidir. Anadolu'da sayısız yer adında ""aşağı"" anlamında kullanılır. <i>ˁulyā</i> ""yüksek, yukarı"" zıddıdır.</p>";
tesmiye;orig	Arapça,smy	Arapça,ism	;
gaita;orig	Arapça,ġwṭ	Arapça,ġāṭa	;
aşı;orig	Eski Türkçe,aşu	;
icmal;orig	Arapça,cml	Arapça,camula	;
broş;orig	Fransızca ,broche	Fransızca ,brocher	;
abiye;orig	Fransızca ,habillé	Fransızca ,habiller	Latince,habitus	Latince,habēre	;
bombe;orig	Fransızca ,bombé	Fransızca ,bomber	Fransızca ,bom	;
edevat;orig	Arapça,Adw	Arapça,adā(t)	;
chili;orig	İngilizce ,chili peppers	İspanyolca ,chilli	Nahuatl (Aztek) dilinde,chilli	;
celse;orig	Arapça,cls	Arapça,calasa	;
sort;orig	İngilizce ,sort	Fransızca ,sorte	Latince,sors, sort-	Latince,serere	Hintavrupa Anadilinde,*ser-<sup>3</sup>	;
kısa;orig	Eski Türkçe,kısġa	Eski Türkçe,kıs-	;
tenis;orig	İngilizce ,tennis	Fransızca ,tenez	Fransızca ,tenir	Latince,tenere, tent-	;
üvendire;orig	Türkiye Türkçesi,ögendire	Yeni Yunanca,vukéndron	Eski Yunanca,boukéntron	Eski Yunanca,boús	Eski Yunanca,kéntron	;
evelek;orig	Ermenice,avelug	Ermenice,avel	;
gasıp;orig	Arapça,ġṣb	Arapça,ġaṣaba	;
burçak;orig	Eski Türkçe,burçak	;
gülnar;orig	Farsça,gulnār	;
triko;orig	Fransızca ,tricot	Eski Fransızca,estriquier	Germence,*strīkan	;
tahammülfersa;orig	Arapça,taḥammul	Farsça,farsā	Arapça,farsūdan	;
kent;orig	Eski Türkçe,kend	Soğdca,kand 	Hotan Saka dilinde,kanthā	;
hal;orig	öz (Fr),Les Halles	özel adından,halle	Germence,*hallō	Hintavrupa Anadilinde,*kol-	Hintavrupa Anadilinde,*kel-<sup>2</sup>	;
vay;orig	Farsça ve Orta Farsça,vāy	Avesta (Zend) dilinde,vāy	;
yar;orig	Eski Türkçe,yār	;
şahmerdan;orig	Farsça,şāh-i mardān	;
bağıntı;orig	Yeni Türkçe,bağın-	;
gök;orig	Eski Türkçe,kȫk	;
becer|mek;orig	Türkiye Türkçesi,başar-	;
ham halat;orig	Türkiye Türkçesi,χām aχlad	;
beton;orig	Fransızca ,béton	Latince,bitumen	Kelt dillerinde,*betu-	;
aspartam;orig	ticari markasından,aspartic acid	Latince,asparagus	;
buzağı;orig	Eski Türkçe,buzāġu	;
cihannüma;orig	Farsça,cihān	Farsça,numā	Farsça,numūdan, numā-	;
külot;orig	Fransızca ,culotte	Fransızca ,cul	Latince,culus	;
yeğin;orig	Türkiye Türkçesi,yeg	;
doğaç;orig	Türkiye Türkçesi,doğ-	;
kebir;orig	Arapça,kbr	Arapça,kabura 	Aramice/Süryanice,gəbar	Akatça,gabru	;
şans;orig	Fransızca ,chance	Latince,cadentia	Latince,cadēre, cas-	;
teğet;orig	Eski Türkçe,teg-	;
florya;orig	Yeni Yunanca,floria	Yeni Yunanca,flori 	Orta Yunanca,flóros	Geç Latince,oriolus	;
imbat;orig	İtalyanca,imbatto	İtalyanca,battere	;
galiz;orig	Arapça,ġlẓ	Arapça,ġalaẓa	;
enteresan;orig	Fransızca ,intéressant	Fransızca ,intéresser	Latince,interesse	Latince,inter	Latince,esse	;
dipfriz;orig	ticari markasından,deep	İngilizce ,freeze	;
gakkoş;none	<p> çocuk dilinden türetilmiştir. </p>;
yamalak;orig	Türkiye Türkçesi,yama-	;
şövalye;orig	Fransızca ,chevalier	Latince,caballarius	Latince,caballus	;
var|mak;orig	Eski Türkçe,bar-	;
statü;orig	Fransızca ,status	Latince,status	Latince,stāre	Hintavrupa Anadilinde,*stā-	;
şevk;orig	Arapça,şwḳ	Arapça,şāḳa	;
tezekkür;orig	Arapça,ḏkr	Arapça,ḏakara	;
abit;orig	Arapça,ˁbd	Arapça,ˁabada	;
feryat;orig	Farsça,faryād 	Orta Farsça,frayād	Avesta (Zend) dilinde,frā-dhāta	;
beher;orig	Farsça,ba har	;
eğlen|mek;orig	Orta Türkçe,egle-	;
apoje;orig	Fransızca ,apogée	Eski Yunanca,apógeion	Eski Yunanca,gḗ	;
dokunmatik;orig	Türkiye Türkçesi,dokun-	Türkiye Türkçesi,otomatik	;
yazgı;orig	Türkiye Türkçesi,yaz-	;
kiç;orig	İngilizce ,kitsch	Almanca ,Kitsch	;
eşantiyon;orig	Fransızca ,échantillon	Geç Latince,*scandaculum	Latince,scandere	;
center;orig	İngilizce ,center	Latince,centrum	;
dede;orig	Oğuzca,dede	;
zühal;orig	Arapça,zḥl	Arapça,zaḥala	;
desktop;orig	İngilizce ,desktop	İngilizce ,desk	İngilizce ,top	;
vida;orig	Venedikçe,vida	Latince,vitis	;
çağlayan;orig	Eski Türkçe ve Türkiye Türkçesi,çağıla-	ETü (onom),çağ 	;
absolü;orig	Fransızca ,absolut	Latince,absolutus	Latince,absoluere	Latince,soluere	;
glikoz;orig	Fransızca ,glucose	Eski Yunanca,glykýs	Hintavrupa Anadilinde,*dlku-	;
geçerli;orig	Türkiye Türkçesi,geçer	;
intiba;orig	Arapça,ṭbˁ	Arapça,ṭabaˁa	;
hidrofil;orig	Fransızca ,hydrophile	Eski Yunanca,ʰydōr	Eski Yunanca,phílos	;
bal;orig	Oğuzca,bal	;
çavuş;orig	Eski Türkçe,çavuş	Eski Türkçe,*çav-	;
ekinoks;orig	Fransızca ,équinox	Latince,aequinoctium	Latince,aequus	Latince,nox, noct-	;
buhurdan;orig	Farsça,baχūrdān	;
barış;orig	Türkiye Türkçesi,barışık	Türkiye Türkçesi,barış-	;
açmaz;orig	Türkiye Türkçesi,aç-	;
hoşbeş;orig	Farsça,χōş bāşad	;
ecir;orig	Arapça,Acr	Aramice/Süryanice,agər	Akatça,agaru	;
ambale;orig	Fransızca ,embalé	Fransızca ,s'embaler	Latince,ballare	;
aseton;orig	Fransızca ,acétone	Latince,acetum	;
ademimerkeziyet;orig	Arapça,ˁadam	Arapça,markazī	;
çömçe;orig	Oğuzca,çomça	Eski Türkçe,çom-	;
ücra;orig	Türkiye Türkçesi,uc	;
halim;orig	Arapça,ḥlm	Arapça,ḥaluma	;
Şii;orig	Arapça,şīˁī	Arapça,şyˁ	Arapça,şāˁa	;
hami;orig	Arapça,ḥmy	Arapça,ḥamā	;
çomar;orig	Türkiye Türkçesi,çokmar	;
efe;"none	<p> çocuk dilinden türetilmiş olabilir; ancak bu kesin değildir. </p>";
ibrişim;orig	Farsça,abrīşum	Orta Farsça,abrēşōm	Avesta (Zend) dilinde,*upa-rēşma	Avesta (Zend) dilinde,*rēş-	;
gâvur;orig	Farsça,gabr	;
fringe;orig	İngilizce ,fringe	Fransızca ,frange	Latince,fimbria	;
buket;orig	Fransızca ,bouquette	Fransızca ,bouquet	;
usare;orig	Arapça,ˁṣr	Arapça,ˁaṣara	;
ham;"none	<p> ""yeme veya yutma sesi"" <b>Ses yansımalı sözcüktür.</b> </p>";
sürç|mek;orig	Eski Türkçe,sürç-	Eski Türkçe,sür-	;
esma;orig	Arapça,smy	Arapça,ism	;
gırtlak;orig	Türkiye Türkçesi,gırtla-	;
diğerkâm;orig	Farsça,dīgar	Farsça,kām	Avesta (Zend) dilinde,kāma-	Hintavrupa Anadilinde,*kā-mo-	Hintavrupa Anadilinde,*kā-	;
kannabis;orig	Latince,cannabis	;
helyum;orig	Yeni Latince,helium	Eski Yunanca,ʰēlios	;
basiret;orig	Arapça,bṣr	Arapça,baṣar	;
fıtık;orig	Arapça,ftḳ	Arapça,fataḳa	;
