word;etymology;related
hipotez;orig	Fransızca ,hypothèse	Eski Yunanca,ʰypothésis	Eski Yunanca,ʰypó	Eski Yunanca,títhēmi, the-	;
liboş;orig	Türkiye Türkçesi,liberal	;
albız;orig	Arapça,iblīs	;
mazi;orig	Arapça,mḍy	Arapça,maḍā	;
veda;orig	Arapça,wdˁ	Arapça,wadaˁa	;
dide;orig	Farsça,dīda	Farsça,dīdan, bīn-	Orta Farsça,dītan, vēn-	Eski Farsça ,didiy	Avesta (Zend) dilinde,dāi-, didaiti	Hintavrupa Anadilinde,*dhyā-	Hintavrupa Anadilinde,*dheiə-	;
kuron;orig	Fransızca ,couronne	Latince,corona	Eski Yunanca,korōnís	Hintavrupa Anadilinde,*kor-ōno-	Hintavrupa Anadilinde,*(s)ker-<sup>3</sup>	;
kiram;orig	Arapça,krm	Arapça,karīm	;
tezene;orig	Farsça,tāziyāna	Farsça,taχtan, tāz-	;
atom;orig	Fransızca ,atome	İngilizce ,atom	Eski Yunanca,átomon	Eski Yunanca,témnō, tom-	;
sarkoma;orig	Fransızca ,sarcome	İngilizce ,sarcoma	Eski Yunanca,sarkóō	Eski Yunanca,sarks, sark-	Hintavrupa Anadilinde,*twrk-	Hintavrupa Anadilinde,*twerk-	;
guatr;orig	Fransızca ,goitre	Latince,guttur	;
palamar;orig	Yeni Yunanca,palamárion	Eski Yunanca,palámē	;
veteriner;orig	Fransızca ,vétérinaire	Latince,veterinarius	Latince,veterinus	Latince,vetus, veter-	;
tiz;orig	Farsça ve Orta Farsça,tīz 	Avesta (Zend) dilinde,taeça- 	Sanskritçe,tic-, tigma	Hintavrupa Anadilinde,*(s)teig-	;
miskin;orig	Arapça,mskn	Aramice/Süryanice,meskīnā	Akatça,muşkēnu	;
süfla;"none	<p><i>Süflî</i> ve <i>esfel</i> sıfatının dişi halidir. Anadolu'da sayısız yer adında ""aşağı"" anlamında kullanılır. <i>ˁulyā</i> ""yüksek, yukarı"" zıddıdır.</p>";
sayın;orig	Çağatayca,sayın	Moğolca ,sayin	;
nezaket;orig	Farsça,nāzuk	;
tesmiye;orig	Arapça,smy	Arapça,ism	;
gaita;orig	Arapça,ġwṭ	Arapça,ġāṭa	;
aşı;orig	Eski Türkçe,aşu	;
icmal;orig	Arapça,cml	Arapça,camula	;
broş;orig	Fransızca ,broche	Fransızca ,brocher	;
abiye;orig	Fransızca ,habillé	Fransızca ,habiller	Latince,habitus	Latince,habēre	;
bombe;orig	Fransızca ,bombé	Fransızca ,bomber	Fransızca ,bom	;
edevat;orig	Arapça,Adw	Arapça,adā(t)	;
muhabbet;orig	Arapça,ḥbb	Arapça,ḥabba	;
chili;orig	İngilizce ,chili peppers	İspanyolca ,chilli	Nahuatl (Aztek) dilinde,chilli	;
celse;orig	Arapça,cls	Arapça,calasa	;
sort;orig	İngilizce ,sort	Fransızca ,sorte	Latince,sors, sort-	Latince,serere	Hintavrupa Anadilinde,*ser-<sup>3</sup>	;
kısa;orig	Eski Türkçe,kısġa	Eski Türkçe,kıs-	;
sevdicek;orig	Türkiye Türkçesi,sevdik	;
nomad;orig	Fransızca ,nomade	İngilizce ,nomad	Eski Yunanca,nomás, nomad-	Eski Yunanca,némō, nom-	Hintavrupa Anadilinde,*nem-	;
müstehzi;orig	Arapça,hzA	Arapça,hazaˀa	;
tenis;orig	İngilizce ,tennis	Fransızca ,tenez	Fransızca ,tenir	Latince,tenere, tent-	;
üvendire;orig	Türkiye Türkçesi,ögendire	Yeni Yunanca,vukéndron	Eski Yunanca,boukéntron	Eski Yunanca,boús	Eski Yunanca,kéntron	;
evelek;orig	Ermenice,avelug	Ermenice,avel	;
gasıp;orig	Arapça,ġṣb	Arapça,ġaṣaba	;
burçak;orig	Eski Türkçe,burçak	;
gülnar;orig	Farsça,gulnār	;
maslak;orig	Türkiye Türkçesi,musluk	;
parabol;orig	Fransızca ,parabole	Eski Yunanca,parabolḗ	Eski Yunanca,parabállō	Eski Yunanca,bállō, bol-	;
triko;orig	Fransızca ,tricot	Eski Fransızca,estriquier	Germence,*strīkan	;
tahammülfersa;orig	Arapça,taḥammul	Farsça,farsā	Arapça,farsūdan	;
kent;orig	Eski Türkçe,kend	Soğdca,kand 	Hotan Saka dilinde,kanthā	;
hal;orig	öz (Fr),Les Halles	özel adından,halle	Germence,*hallō	Hintavrupa Anadilinde,*kol-	Hintavrupa Anadilinde,*kel-<sup>2</sup>	;
vay;orig	Farsça ve Orta Farsça,vāy	Avesta (Zend) dilinde,vāy	;
yar;orig	Eski Türkçe,yār	;
şahmerdan;orig	Farsça,şāh-i mardān	;
bağıntı;orig	Yeni Türkçe,bağın-	;
gök;orig	Eski Türkçe,kȫk	;
misil;orig	Arapça,ms̠l	Arapça,maṯala	Aramice/Süryanice,mtl	Akatça,maşālu	;
becer|mek;orig	Türkiye Türkçesi,başar-	;
metres;orig	Fransızca ,maîtresse	Fransızca ,maître	;
marki;orig	Fransızca ,marquis	Geç Latince,marchese	Geç Latince,marca	Germence,*markō	;
ham halat;orig	Türkiye Türkçesi,χām aχlad	;
beton;orig	Fransızca ,béton	Latince,bitumen	Kelt dillerinde,*betu-	;
aspartam;orig	ticari markasından,aspartic acid	Latince,asparagus	;
buzağı;orig	Eski Türkçe,buzāġu	;
cihannüma;orig	Farsça,cihān	Farsça,numā	Farsça,numūdan, numā-	;
külot;orig	Fransızca ,culotte	Fransızca ,cul	Latince,culus	;
yeğin;orig	Türkiye Türkçesi,yeg	;
doğaç;orig	Türkiye Türkçesi,doğ-	;
kebir;orig	Arapça,kbr	Arapça,kabura 	Aramice/Süryanice,gəbar	Akatça,gabru	;
şans;orig	Fransızca ,chance	Latince,cadentia	Latince,cadēre, cas-	;
teğet;orig	Eski Türkçe,teg-	;
florya;orig	Yeni Yunanca,floria	Yeni Yunanca,flori 	Orta Yunanca,flóros	Geç Latince,oriolus	;
sansasyon;orig	Fransızca ,sensation	Geç Latince,sensatio	Latince,sentire	;
imbat;orig	İtalyanca,imbatto	İtalyanca,battere	;
galiz;orig	Arapça,ġlẓ	Arapça,ġalaẓa	;
enteresan;orig	Fransızca ,intéressant	Fransızca ,intéresser	Latince,interesse	Latince,inter	Latince,esse	;
dipfriz;orig	ticari markasından,deep	İngilizce ,freeze	;
merhale;orig	Arapça,rḥl	Arapça,raḥala	;
gakkoş;none	<p> çocuk dilinden türetilmiştir. </p>;
yamalak;orig	Türkiye Türkçesi,yama-	;
şövalye;orig	Fransızca ,chevalier	Latince,caballarius	Latince,caballus	;
var|mak;orig	Eski Türkçe,bar-	;
müdavim;orig	Arapça,dwm	Arapça,dāma	;
mukataa;orig	Arapça,ḳṭˁ	Arapça,ḳaṭaˁa	;
salto;orig	İtalyanca,salto	Latince,saltum	Latince,salire, salt-	Hintavrupa Anadilinde,*sel-<sup>4</sup>	;
