word;etymology
*ạ̄rt-;"[(u'Old Turkic:', [u'(?) ar\u010d- (OUygh. - ', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=251"" target=""_blank"">USp.</a>, u')']), (u'Karakhanid:', [u""ar\u010d\u0268 'saddle-bag' ("", <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u'; < art-\u010d\u0268?)']), (u'Turkish:', u'ard- (dial.), = Osm.'), (u'Uzbek:', u'\u0254rt-'), (u'Uighur:', u'a(r)t-'), (u'Sary-Yughur:', u'art-'), (u'Khakassian:', u'art-'), (u'Shor:', u'arta-'), (u'Oyrat:', u'art-art-'), (u'Chuvash:', u'ort-'), (u'Yakut:', u'\u0268\u0304rt-'), (u'Dolgan:', u'\u0268rd\u0101-'), (u'Tuva:', u'art-'), (u'Kirghiz:', u'art-'), (u'Kazakh:', u'art-'), (u'Noghai:', u'art-'), (u'Bashkir:', u'art-'), (u'Gagauz:', u'\u0101rt-'), (u'Karakalpak:', u'art-')]"
*āt;"[(u'Old Turkic:', [<i>at</i>, u' (Orkh., OUygh.)']), (u'Karakhanid:', [<i>at</i>, u' (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u')']), (u'Turkish:', u'ad'), (u'Tatar:', u'at'), (u'Middle Turkic:', [<i>at</i>, u' (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=218"" target=""_blank"">Pav. C.</a>, u')']), (u'Uzbek:', u'\u0254t, dial. (Namangan) \xe4t'), (u'Uighur:', u'at'), (u'Sary-Yughur:', u'at'), (u'Azerbaidzhan:', u'ad'), (u'Turkmen:', u'\u0101t'), (u'Khakassian:', u'at'), (u'Shor:', u'at'), (u'Oyrat:', u'at'), (u'Halaj:', u'\u0101t'), (u'Chuvash:', u'jat'), (u'Yakut:', u'\u0101t'), (u'Dolgan:', u'\u0101t'), (u'Tuva:', u'at'), (u'Tofalar:', [<i>at,</i>, u' (ad\u0268)']), (u'Kirghiz:', u'at'), (u'Kazakh:', u'at'), (u'Noghai:', u'at'), (u'Bashkir:', u'at'), (u'Balkar:', u'at'), (u'Gagauz:', u'\u0101t'), (u'Karaim:', u'ad'), (u'Karakalpak:', u'at'), (u'Salar:', u'\u0101t'), (u'Kumyk:', u'at')]"
*āt-;"[(u'Turkish:', [u'ad\u0268m 3, ad\u0268m at-, Osm. ', <i>ad-</i>, u' 1']), (u'Tatar:', u""atla- 1, ad\u0268m 3, at\u0268 'step'""), (u'Middle Turkic:', [u'ad\u0268m (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=218"" target=""_blank"">Pav. C.</a>, u') 3']), (u'Uzbek:', u'\u0254dim, dial. ad\u0268m 3'), (u'Uighur:', u'atli- 1'), (u'Azerbaidzhan:', u'ad\u0268m at- 1, ad\u0268m 3'), (u'Turkmen:', u'dial. \u0101t-, \u01dft-, \u01dft-le- 1, \u01dfdim, dial. \u0101d\u0268m 3'), (u'Khakassian:', u""alta- 1, at\u0268x- 'to jump'""), (u'Oyrat:', u'alta- 1 (< atla-)'), (u'Chuvash:', u'od\u044am 3, ot- 2'), (u'Yakut:', u'at\u0268ll\u0101- 1'), (u'Dolgan:', u""at\u0268ll\u0101- 'to jump, hop'""), (u'Kirghiz:', u'atta- 1, ad\u0268m 3'), (u'Kazakh:', u'atla- 1, ad\u0268m 3'), (u'Noghai:', u'atla- 1, ad\u0268m 3'), (u'Bashkir:', u'atla- 1, a\u03b4\u0268m 3'), (u'Balkar:', u'atla- 1'), (u'Karaim:', u'ad\u0268m 3'), (u'Karakalpak:', u'atla- 1, ad\u0268m 3'), (u'Salar:', u""a'tla- 2"")]"
*ātag;"[(u'Turkish:', u'ada'), (u'Tatar:', u'ataw'), (u'Middle Turkic:', [u'(', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=165"" target=""_blank"">CCum</a>, u'.) atov']), (u'Turkmen:', u'\u0101da'), (u'Chuvash:', u'od\u044a')]"
*siat-ga-;"[(u'Old Turkic:', u'sat\u0263a- (OUygh.) 1'), (u'Karakhanid:', [u'sat\u0263a- (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u', ', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">KB</a>, u') 1']), (u'Turkish:', u'sata-\u0161- 1'), (u'Tatar:', u'sata\u0161- 3'), (u'Middle Turkic:', [u'(MKYpch.) sat\u0263a- (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=165"" target=""_blank"">CCum</a>, u'.) 1']), (u'Azerbaidzhan:', u'sata-\u0161- 1'), (u'Turkmen:', u'sata-\u0161- 2'), (u'Chuvash:', [u""\u0161ot 'trouble, anxiety' (but "", <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=207"" target=""_blank"">\u0424\u0435\u0434\u043e\u0442\u043e\u0432</a>, u' 2, 463 derives it < Russ. \u0441\u0447\u0435\u0442)']), (u'Yakut:', u'ata\u0263asta-'), (u'Noghai:', u'satas- 3'), (u'Bashkir:', u'hata\u0161- 3'), (u'Gagauz:', u'sata\u0161- 1'), (u'Karaim:', u'sata\u0161- 1'), (u'Kumyk:', u'sata\u0161- 1')]"
*siāč;"[(u'Karakhanid:', [u'sa\u010d 2 (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u')']), (u'Turkish:', u'sa\u010d 2'), (u'Middle Turkic:', [u'sa\u010d (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=230"" target=""_blank"">AH</a>, u'), sa\u01ef (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=218"" target=""_blank"">Pav. C.</a>, u') 2']), (u'Azerbaidzhan:', u'sa\u01ef 2'), (u'Turkmen:', u's\u0101\u010d 2'), (u'Chuvash:', u'\u0161\u044a\u02b7v\u044a\u02b7s\u0301, \u0161us\u0301, \u0161os\u0301 1'), (u'Gagauz:', u""sa\u01efaq 'tripod'"")]"
*siāk-;"[(u'Old Turkic:', u'saq- 1, saq\u0268\u0161 4 (OUygh.)'), (u'Karakhanid:', [u'saq-, sa\u0263\u0268n- 1, saq\u0268\u0161 4 (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u')']), (u'Turkish:', u'sa\u0263\u0268 7'), (u'Tatar:', u'sa\u0263\u0268 4, sa\u0263\u0268n- 2'), (u'Middle Turkic:', [u'sa\u0263\u0268n- (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=254"" target=""_blank"">\u0411\u0443\u0434.</a>, u') 2, sa\u0263\u0268 (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=218"" target=""_blank"">Pav. C.</a>, u') 1']), (u'Uzbek:', u's\u0254\u0263in- 2'), (u'Uighur:', u'se\u0263in- 2'), (u'Turkmen:', u's\u0101G\u0268n- 2'), (u'Khakassian:', u'sa\u0263\u0268n- 2'), (u'Chuvash:', u'\u0161o\u0263\u044a\u0161 4'), (u'Yakut:', u'\u0101x- 5, a\u0263\u0268n- 2, 6'), (u'Dolgan:', u'\u0101k- 5, ag\u0268n- 2, 6'), (u'Tuva:', u'sa\u0263\u0268n- 2, 6, sa\u0263\u0268\u0161 3'), (u'Kirghiz:', u'sa\u0263\u0268n- 2'), (u'Kazakh:', u'sa\u0263\u0268n- 2'), (u'Noghai:', u'sa\u0263\u0268n- 2'), (u'Bashkir:', u'ha\u0263\u0268n- 2'), (u'Karaim:', u'sa\u0263\u0268n- 1, 2'), (u'Karakalpak:', u'sa\u0263\u0268n- 1, 2'), (u'Kumyk:', u'sa\u0263\u0268n- 2')]"
*siāĺ-;"[(u'Karakhanid:', [u'sa\u0161 1 (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u')']), (u'Turkish:', u'\u0161a\u0161- 2'), (u'Azerbaidzhan:', u'\u010da\u0161- 2'), (u'Turkmen:', u'\u010d\u0101\u0161- 2'), (u'Halaj:', u'\u0161a\u0161qa- 3'), (u'Chuvash:', u""\u0161uldra 'pert'"")]"
*siāń- (~-j-);[(u'Karakhanid:', u'saj-pa- 3'), (u'Middle Turkic:', u'saj-pa- 3'), (u'Uighur:', u'saj- 4'), (u'Turkmen:', u's\u0101j\u0268l 1'), (u'Oyrat:', u'sajl\u0268\u0263 1 (dial.), sajaq 5 (dial., R - Kumd.)'), (u'Chuvash:', u'\u0161uj\u0263an- 2'), (u'Tuva:', u'sajmaara- 2'), (u'Karakalpak:', u'saj\u0268l 6')]
*siāpan;"[(u'Old Turkic:', u'saman (OUygh.)'), (u'Karakhanid:', [u'saman (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u' Cigil)']), (u'Turkish:', u'saman'), (u'Middle Turkic:', [u'saman (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=218"" target=""_blank"">Pav. C.</a>, u',', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=163"" target=""_blank"">Ettuhf.</a>, u', ', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=185"" target=""_blank"">Houts.</a>, u')']), (u'Uzbek:', u's\u0254m\u0254n'), (u'Uighur:', u'saman'), (u'Azerbaidzhan:', u'saman'), (u'Turkmen:', u's\u0101man'), (u'Khakassian:', u""sabal 'branches of coniferous trees'""), (u'Halaj:', u""sabana 'spike beard'""), (u'Chuvash:', u""\u0161\u044a\u02b7ma 'angelica'""), (u'Tuva:', u'sava\u014b'), (u'Kirghiz:', [u'saman, (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=215"" target=""_blank"">R</a>, u') samal']), (u'Kazakh:', u'saban'), (u'Noghai:', u'saman'), (u'Gagauz:', u'saman'), (u'Karaim:', u'saman'), (u'Karakalpak:', u""saban 'straw', sabat 'sedge'""), (u'Kumyk:', u'saman')]"
*sib- (*süb-);[(u'Turkish:', u's\xfcj-, s\xfcv- (dial.) 1, 2, s\xfcmek, s\xfcj\xfcm 3'), (u'Azerbaidzhan:', u's\xfcm\xe4x (dial.) 3'), (u'Turkmen:', u's\xfcj- 2, s\xfcmek, s\xfcj\xfcm 3'), (u'Chuvash:', u's\u01ddvem (se\u0306vem) 3'), (u'Gagauz:', u's\xfcmek 3')]
*sibüt;"[(u'Karakhanid:', [u'sib\xfct (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u')'])]"
*sik-;"[(u'Karakhanid:', [u'sik- 1, sik 2 (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u')']), (u'Turkish:', u'sik- 1, sik 2 (R.)')]"
*sil;"[(u'Old Turkic:', u""sil at (MK); sil ki\u0161i 'abstemious person'"")]"
*sil-;"[(u'Turkish:', u'sel, selik (dial.) 1'), (u'Middle Turkic:', [u'silik (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=163"" target=""_blank"">Ettuhf.</a>, u') 1']), (u'Uzbek:', u'\u0161ilik 2'), (u'Uighur:', u'\u0161ilim, \u0161illik 2'), (u'Azerbaidzhan:', u'selik 1'), (u'Kirghiz:', u'sil\xe4m\xe4g\xe4j (R.) 1'), (u'Kazakh:', u'si\u0306lemej 1')]"
*silk-;"[(u'Old Turkic:', [<i>silk-</i>, u' (OUygh.)']), (u'Karakhanid:', [<i>silk-</i>, u' (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u')']), (u'Turkish:', u'silk-'), (u'Tatar:', u'si\u0306lk-'), (u'Middle Turkic:', [<i>silk-</i>, u' (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=230"" target=""_blank"">AH</a>, u', ', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=218"" target=""_blank"">Pav. C.</a>, u')']), (u'Uzbek:', u'silki-'), (u'Uighur:', u'silki-'), (u'Azerbaidzhan:', u'silk-'), (u'Turkmen:', u'silk-'), (u'Khakassian:', u'si\u0306li\u0306k-'), (u'Oyrat:', u'silki-'), (u'Halaj:', u'silk-'), (u'Yakut:', u'ilk-'), (u'Tuva:', u'silki-'), (u'Kirghiz:', u'silk-'), (u'Kazakh:', u'silki-'), (u'Noghai:', u'silk-'), (u'Bashkir:', u'hi\u0306lk-'), (u'Balkar:', u'silk-'), (u'Gagauz:', u'silk-'), (u'Karaim:', u'silk-'), (u'Karakalpak:', u'silki-'), (u'Kumyk:', u'silk-')]"
*simek;[(u'Old Turkic:', u'simek (OUygh.)')]
*simü- / *sümü-;"[(u'Karakhanid:', [u'sim\xfcr- (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u')']), (u'Turkish:', u's\xfcm-, s\xfcm\xfcr-'), (u'Middle Turkic:', [u's\xfcm\xfcr- (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=218"" target=""_blank"">Pav. C.</a>, u', ', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=192"" target=""_blank"">IM</a>, u')']), (u'Uzbek:', u'simir-'), (u'Uighur:', u's\xfcm\xfcr-'), (u'Azerbaidzhan:', u's\xfcm\xfcr-'), (u'Turkmen:', u's\xfcm\xfcr-'), (u'Chuvash:', u""sim, s\u01ddm 'honey drink'""), (u'Kazakh:', u'simir-'), (u'Noghai:', u'simir-'), (u'Bashkir:', u'hi\u0306mi\u0306r-'), (u'Karakalpak:', u'simir-')]"
*simük, *simki-;"[(u'Karakhanid:', [u'se\u014breg\xfc (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u"") 'continuously discharging mucus from one's nose'""]), (u'Turkish:', u's\xfcm\xfck 1, s\xfcmk\xfcr- 2'), (u'Tatar:', u'simgir 1, si\u0306\u014bgi\u0306r- 2'), (u'Middle Turkic:', [u's\xfcm\xfck 1, s\xfcmk\xfcr- 2 (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=230"" target=""_blank"">AH</a>, u', ', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=218"" target=""_blank"">Pav. C.</a>, u')']), (u'Turkmen:', u's\xfcm\xfck 1, s\xfcmg\xfcr- 2'), (u'Khakassian:', u'si\u0306\u014bi\u0306r- 2'), (u'Chuvash:', u'\u0161\u01ddngar- (\u0161a\u0306ngar-) 2'), (u'Tuva:', u'si\u014bmir- 2'), (u'Kirghiz:', u'simbir- 2'), (u'Kazakh:', u'si\u0306\u014bbi\u0306r- 2'), (u'Noghai:', u'simgir- 2'), (u'Gagauz:', u's\xfcm\xfck 1, s\xfcmk\xfcr- 2'), (u'Karaim:', u'si\u014bir- 2'), (u'Karakalpak:', u'si\u0306\u014bbi\u0306r- 2')]"
*sinčök ( ~ -e-);"[(u'Turkish:', u'sin\u01efik 1 (dial.)'), (u'Yakut:', u's\xfcnj\xfc\xf6x 2'), (u'Tuva:', u""\u0161\xfcn\u010d\xfck 'hip joint'""), (u'Tofalar:', u""\u0161\xfc\u014b\u01ef\xfck 'hip joint'""), (u'Bashkir:', u'sensek (dial.) 2')]"
*siŋ-;"[(u'Old Turkic:', u'si\u014b- (OUygh.)'), (u'Karakhanid:', [u'si\u014b- (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u')']), (u'Turkish:', u'sin-'), (u'Tatar:', u'si\u0306\u014b-'), (u'Middle Turkic:', [u'si\u014b- (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=230"" target=""_blank"">AH</a>, u', ', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=218"" target=""_blank"">Pav. C.</a>, u')']), (u'Uzbek:', u'si\u014b-'), (u'Uighur:', u'si\u014b-'), (u'Sary-Yughur:', u's\u0268\u014b-'), (u'Azerbaidzhan:', u'sin-'), (u'Turkmen:', u'si\u014b-'), (u'Khakassian:', u""s\u0268\u014b- 'to fit into'""), (u'Shor:', u""s\u0268\u014b- 'to fit into'""), (u'Chuvash:', u'\u0161\u044an\u044as\u0301-'), (u'Yakut:', u'i\u014b-'), (u'Tuva:', u""si\u014b-; s\u0268\u014b- 'to fit into'""), (u'Kirghiz:', u'si\u014b-'), (u'Kazakh:', u'si\u014b-'), (u'Noghai:', u'si\u014b-'), (u'Bashkir:', u'hi\u0306\u014b-'), (u'Balkar:', u'si\u014b-'), (u'Gagauz:', u'sin-'), (u'Karaim:', u'sin-'), (u'Karakalpak:', u'si\u014b-'), (u'Salar:', u'si\u014b-'), (u'Kumyk:', u'si\u014b-')]"
*siŋ- (~ -ɨ-);"[(u'Karakhanid:', u'si\u014b 1, si\u014bile- 2'), (u'Turkish:', u'sinle-, dial. senele- 2'), (u'Khakassian:', u's\u0268\u014b 1, s\u0268\u0304la- 2'), (u'Chuvash:', u'\u0161\u044ang\u044ar 1, \u0161\u044ang\u044ardat- 2'), (u'Yakut:', [u""i\u014bersij- 'to neigh, coo' ("", <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=246"" target=""_blank"">\u041f\u0435\u043a.</a>, u')']), (u'Tuva:', u's\u0268\u0304la- 2'), (u'Kazakh:', u's\u0268\u014b\u0263\u0268r 1, s\u0268\u014b-q\u0268lda- 2'), (u'Bashkir:', u""h\u0268\u014b-q\u0268lda- 'to sob'"")]"
*siŋek;"[(u'Karakhanid:', [u'si\u014bek 1,2 (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u')']), (u'Turkish:', u'sinek 2'), (u'Middle Turkic:', [u'si\u014bak, si\u014bgek 2 (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=218"" target=""_blank"">Pav. C.</a>, u')']), (u'Sary-Yughur:', u""s\u0268\u014bgek 'gad-fly'""), (u'Azerbaidzhan:', u'sin\xe4k 1'), (u'Turkmen:', u'si\u014bek 2'), (u'Khakassian:', u'sik, s\u0113k 2'), (u'Oyrat:', u's\u0113k 1'), (u'Chuvash:', u'\u0161\u044ana 2'), (u'Tuva:', u's\u0113k 2'), (u'Gagauz:', u'sinek 2'), (u'Karaim:', u'sinek 2')]"
*siŋil;"[(u'Old Turkic:', u'si\u014bil 1 (Orkh., OUygh.)'), (u'Karakhanid:', [u'si\u014bil 1 (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u')']), (u'Tatar:', u'si\u0306\u014bi\u0306l 1'), (u'Middle Turkic:', [u'si\u014bil 1 (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=183"" target=""_blank"">Abush.</a>, u', ', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=218"" target=""_blank"">Pav. C.</a>, u')']), (u'Uzbek:', u'si\u014bil 1'), (u'Uighur:', u'si\u014bil 1'), (u'Sary-Yughur:', u's\u0268\u014bn\u0268 1'), (u'Turkmen:', u'si\u014bli 1 (dial.)'), (u'Shor:', u'si\u014bnim (Chul.) 2'), (u'Chuvash:', u'\u0161\u044all-\u044am 2'), (u'Kirghiz:', u'si\u014bdi 1'), (u'Kazakh:', u'si\u014bli 1'), (u'Noghai:', u'si\u014bli 1'), (u'Bashkir:', u'hi\u0306\u014bli\u0306 1'), (u'Karaim:', u'si\u014bli 1'), (u'Karakalpak:', u'si\u014bli 1'), (u'Salar:', u'si\u014bil, si\u014bni, si\u014bne 1')]"
*Ar-;"[(u'Karakhanid:', [u'arma\u0263an (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u', Oghuz)']), (u'Turkish:', u'arma\u0263an'), (u'Middle Turkic:', u'arma\u0263an'), (u'Azerbaidzhan:', u'arma\u0263an'), (u'Kirghiz:', u""arna- 'to dedicate, design for'"")]"
*ara-n;"[(u'Karakhanid:', [u'aran 1 (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u')']), (u'Tatar:', u'aran 1'), (u'Middle Turkic:', [u'aran 1 (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=174"" target=""_blank"">Sangl.</a>, u')']), (u'Turkmen:', u'aram (dial.) 3'), (u'Yakut:', u""ara\u014bas (< *aran-ga\u010d, Dimin.) 4, dial. ar\u0101n '\u043c\u0435\u0441\u0442\u043e, \u043d\u0430 \u043a\u043e\u0442\u043e\u0440\u043e\u043c \u0441\u0442\u043e\u0438\u0442 \u0447\u0443\u043c, \u043f\u0430\u043b\u0430\u0442\u043a\u0430'""), (u'Dolgan:', u'ara\u014bas 4'), (u'Kazakh:', u'aran 3'), (u'Noghai:', u'aran 3'), (u'Bashkir:', u'aran 1'), (u'Karaim:', u'aran 3'), (u'Kumyk:', u'aran 1')]"
*Argun ~ *āŕ;"[(u'Old Turkic:', u'as (OUygh.) 1'), (u'Karakhanid:', [u'as, az (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u') 1, ar\u0263un (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u') 2']), (u'Turkish:', u'a(r)s, Osm. as'), (u'Tatar:', u'as 1'), (u'Uzbek:', u'as (Sangl.) 2'), (u'Khakassian:', u'as 1'), (u'Shor:', u'as 1'), (u'Oyrat:', u'a(\u0263a)s, \u0101s 1'), (u'Chuvash:', u'jos 1'), (u'Tuva:', u'as 1'), (u'Kirghiz:', u'ar\u0268s 1'), (u'Bashkir:', u'a\u0275 1'), (u'Karaim:', u'as 1'), (u'Kumyk:', u'as 1')]"
*ạrɨ-;"[(u'Old Turkic:', u'ar\u0268\u0263 (Orkh.), ar\u0268-, ar\u0268\u0263 (OUygh.) 1, ar\u0268t- (OUygh.) 2'), (u'Karakhanid:', [u'ar\u0268-, ar\u0268\u0263 (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u', ', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">KB</a>, u') 1, ar\u0268t- (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u', ', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">KB</a>, u') 2']), (u'Turkish:', u""ar\u0268 1, art- 2, Osm. ar\u0268t- 'to wipe'""), (u'Tatar:', u'aru 1'), (u'Middle Turkic:', [u'ar\u0268- (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=183"" target=""_blank"">Abush.</a>, u'), ar\u0268\u0263 (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=183"" target=""_blank"">Abush.</a>, u', ', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=174"" target=""_blank"">Sangl.</a>, u', ', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=252"" target=""_blank"">Qutb</a>, u'), ar\u0268 (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=218"" target=""_blank"">Pav. C.</a>, u') 1, ar\u0268t- (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=174"" target=""_blank"">Sangl.</a>, u', ', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=252"" target=""_blank"">Qutb</a>, u') 2']), (u'Uzbek:', u'dial. ari- 1'), (u'Uighur:', u'eriq 1'), (u'Sary-Yughur:', u'ar\u0268\u0263 1'), (u'Azerbaidzhan:', u'dial. ar\u0268 1, ar\u0268t- 2'), (u'Turkmen:', u'ar\u0268G 1, art- 2'), (u'Khakassian:', u'ar\u0268\u0263 1'), (u'Oyrat:', u'aru 1'), (u'Halaj:', u'ar\u0268\u0263 1, arut- 2'), (u'Chuvash:', u""\u0268r\u044a 'good', irt- '\u043f\u0435\u0440\u0435\u0431\u0438\u0440\u0430\u0442\u044c \u044f\u0433\u043e\u0434\u044b, \u043e\u0447\u0438\u0449\u0430\u0442\u044c \u0434\u0435\u0440\u0435\u0432\u043e \u043e\u0442 \u0441\u0443\u0447\u044c\u0435\u0432'""), (u'Yakut:', u""\u0268r\u0101s 1, \u0268r\u0268t- '\u043f\u0435\u0440\u0435\u0431\u0438\u0440\u0430\u0442\u044c \u044f\u0433\u043e\u0434\u044b'""), (u'Dolgan:', u'\u0268ras 1'), (u'Tuva:', u'ar\u0268\u0263 1, ar\u0268t- 2'), (u'Kirghiz:', u'ar\u016b 1'), (u'Kazakh:', u'aru 1'), (u'Bashkir:', u'ar\u0268w 1'), (u'Balkar:', u'ar\u0268w 1'), (u'Karakalpak:', u'aruw 1')]"
